Model,MAE_val,RMSE_val,MAE_test,RMSE_test
LinearRegression,12.551189588622634,15.468049095241692,16.563649350332486,20.213762190259786
DecisionTreeRegressor,16.37704918032787,22.01154689523913,21.59016393442623,27.18696650126644
