Model,Accuracy_val,F1_val,Accuracy_test,F1_test
LogisticRegression,0.819672131147541,0.817910447761194,0.8688524590163934,0.8688172043010753
DecisionTreeClassifier,0.7213114754098361,0.7213114754098361,0.7213114754098361,0.7210115684691956
