Model,Accuracy_val,F1_val,Accuracy_test,F1_test
LogisticRegression,0.8360655737704918,0.8214285714285714,0.8852459016393442,0.8852459016393442
DecisionTreeClassifier,0.7377049180327869,0.7241379310344828,0.6721311475409836,0.6774193548387096
