epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
49,628.3580546510813,20.653547,25.067072,345.8245061655514,14.468424,18.596357
50,549.5232726039148,19.166363,23.441912,345.03568980732905,14.42713,18.575136
51,588.3183155375949,19.522415,24.255274,344.1063675176902,14.384148,18.550102
52,629.9778455871245,19.581274,25.09936,343.8065986007941,14.361323,18.542023
53,543.6215722521366,18.616688,23.315693,346.3485472632236,14.456175,18.61044
54,639.5381746239425,19.585152,25.289091,347.576413013896,14.49548,18.6434
55,541.4547967225807,18.230658,23.269182,348.2271175697202,14.517779,18.660845
56,680.2115748284272,20.54059,26.080866,345.80166876120643,14.418163,18.595743
57,606.6475985195096,19.809822,24.630215,343.2683923439901,14.308201,18.527504
58,580.6147272099447,19.214159,24.09595,344.55459144467216,14.339756,18.56218
59,638.9850430146107,20.3059,25.278154,346.75057282995004,14.423245,18.621239
60,638.4284101454592,20.62689,25.26714,346.50276884485464,14.4217615,18.614586
61,541.1092342987904,19.028687,23.261757,345.6699303798988,14.383915,18.592201
62,675.5261243957183,20.460405,25.990887,343.37804225233737,14.295309,18.530462
63,664.4768302453815,20.346067,25.777447,343.5716577748783,14.311123,18.535685
64,576.8274853110972,18.981825,24.017233,342.0252317835073,14.262717,18.493923
65,554.3225370797004,18.527306,23.544054,341.5799638091541,14.288124,18.481882
66,563.1983210948291,18.404064,23.7318,341.9449290291208,14.310677,18.491755
67,553.6875252908106,17.884573,23.530565,340.9884298355853,14.268752,18.46587
68,608.061346907642,19.438234,24.658901,341.49639892578125,14.275725,18.47962
69,602.8379560438967,19.6417,24.55276,341.86269040967596,14.285876,18.489529
70,563.6015159649085,19.18502,23.740294,340.99265001640947,14.246529,18.465986
71,584.3487511734936,19.414309,24.173307,342.71470191830497,14.306922,18.512556
72,580.4770681476066,19.169472,24.093092,342.81030373495133,14.295028,18.515137
73,648.9417687516186,20.519358,25.474335,345.02489483942753,14.381743,18.574846
74,597.5539420955089,19.345026,24.444918,342.57979171002495,14.280118,18.508911
75,505.4200677186745,17.698074,22.48155,337.3039285628522,14.119475,18.365837
76,550.2532119329463,18.995827,23.457476,338.77451361984504,14.177168,18.405828
77,594.287267526869,19.649342,24.378008,338.55209675773244,14.187303,18.399784
78,509.84684188589864,17.550308,22.579788,343.94355748911374,14.378581,18.545715
79,563.8216768549293,18.387587,23.744928,342.3954692903112,14.332544,18.50393
80,554.7500286629187,18.473503,23.553131,339.6866660196273,14.257768,18.430592
81,572.3703545839088,18.67924,23.924263,334.8376922607422,14.135654,18.29857
82,599.4769432110022,19.609617,24.484219,332.03691476290345,14.0689,18.221882
83,584.1075014567507,18.848482,24.168316,330.71207190341636,14.077713,18.18549
84,574.8423055575039,19.45462,23.97587,329.997046298668,14.100052,18.165821
85,717.1148528209708,21.233034,26.779001,331.46113136166434,14.135502,18.206074
86,646.2656260116324,20.484886,25.421755,335.61548076692173,14.24263,18.31981
87,649.5455044066708,19.484896,25.486181,340.0348855941022,14.377337,18.440035
88,711.2633471409919,20.703993,26.669521,345.16711625896517,14.548964,18.578672
89,556.2485580865849,18.823133,23.58492,345.29383725025616,14.567498,18.582085
90,517.9866333007812,18.34153,22.75932,346.5995418360976,14.623815,18.617186
91,573.6116919754619,19.666945,23.950191,343.31058689805326,14.527776,18.528643
92,516.2320202569276,18.090246,22.72074,338.4845706126729,14.385108,18.39795
93,561.0702548369518,18.531519,23.686922,338.6522747102331,14.389966,18.402508
94,623.4982620154955,20.419634,24.969948,341.0912940853932,14.473344,18.468657
95,659.2126191702996,19.71565,25.675137,341.5029892217918,14.4818945,18.479801
96,538.3520480835635,18.069084,23.202415,338.7530237416752,14.3914,18.405245
97,565.917810598131,18.712856,23.789028,337.78769821417137,14.369465,18.379002
98,562.8736973546487,18.718601,23.72496,339.2001292744621,14.404585,18.417387
99,503.48789902154914,17.635025,22.438536,336.48040296210615,14.321913,18.343403
100,577.7954867031034,19.333572,24.037376,336.10016469486425,14.296016,18.333035
