Model,MAE_val,RMSE_val,MAE_test,RMSE_test
LinearRegression,14.970358010168459,18.652952627689388,15.674477912747788,20.3302709935809
DecisionTreeRegressor,19.18032786885246,25.766288815897845,19.049180327868854,25.41330489278737
