epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.6999333820290329,0.4585635359116022,0.6287878787878788,0.6946472066347716,0.45901639344262296,0.6292134831460674
2,0.6929965687720157,0.46408839779005523,0.6311787072243346,0.6855018246369283,0.45901639344262296,0.6292134831460674
3,0.6845975561036589,0.4861878453038674,0.6324110671936759,0.6752285625113815,0.5573770491803278,0.6746987951807228
4,0.6753775451064769,0.6353591160220995,0.7,0.6631053334376851,0.7704918032786885,0.7666666666666667
5,0.6619041815647104,0.712707182320442,0.7204301075268817,0.6474247701832505,0.8524590163934426,0.8235294117647058
6,0.6445030576616361,0.7458563535911602,0.7415730337078652,0.6257580186499924,0.8524590163934426,0.8235294117647058
7,0.6291805775784656,0.7071823204419889,0.6748466257668712,0.5984700527347502,0.819672131147541,0.7755102040816326
8,0.603853276421352,0.7790055248618785,0.7368421052631579,0.5639459246494731,0.8360655737704918,0.782608695652174
9,0.5713810018412975,0.7790055248618785,0.726027397260274,0.522852608414947,0.8524590163934426,0.8085106382978723
10,0.517708073169487,0.7900552486187845,0.7532467532467533,0.48293309084704666,0.8852459016393442,0.8571428571428571
11,0.5020296843671008,0.8066298342541437,0.7712418300653595,0.4469008846361129,0.8524590163934426,0.8163265306122449
12,0.44967288404538486,0.8121546961325967,0.7763157894736842,0.41379481016612446,0.8524590163934426,0.8235294117647058
13,0.46172348191724955,0.8121546961325967,0.782051282051282,0.3878796437724692,0.8524590163934426,0.8235294117647058
14,0.43307452488340725,0.8342541436464088,0.810126582278481,0.3663861961638341,0.8688524590163934,0.8461538461538461
15,0.44809028670932705,0.8397790055248618,0.8176100628930818,0.35058733283496296,0.8852459016393442,0.8679245283018868
16,0.3860342757807252,0.8397790055248618,0.8220858895705522,0.337905118211371,0.8852459016393442,0.8679245283018868
17,0.3886898718156867,0.8287292817679558,0.8121212121212121,0.32891617251224203,0.8852459016393442,0.8679245283018868
18,0.4097798192533999,0.8287292817679558,0.8074534161490683,0.32207341467747924,0.8852459016393442,0.8679245283018868
19,0.39939837165958975,0.8453038674033149,0.8271604938271605,0.3159264624118805,0.8852459016393442,0.8679245283018868
20,0.37347076067608365,0.8342541436464088,0.8148148148148148,0.31694370947900363,0.9016393442622951,0.8846153846153846
21,0.3316320353779345,0.856353591160221,0.8333333333333334,0.31388939062102894,0.9016393442622951,0.8846153846153846
22,0.34765073936947144,0.8342541436464088,0.8125,0.3125916807377925,0.8360655737704918,0.8214285714285714
