Model,Accuracy_val,F1_val,Accuracy_test,F1_test
LogisticRegression (classical),0.8360655737704918,0.8214285714285714,0.8852459016393442,0.8852459016393442
NN_MLP,0.9016393442622952,0.8846153846153846,0.8524590163934426,0.847457627118644
